zone_from,zone_to,travel_time
"NC2","SC3","7"
"NC2","SC4","8"
"NC2","SC5","9"
"NC2","SYD","2"
"NC2","TC1","7"
"NC2","VC1","3"
"NC2","VC2","4"
"NC2","VC3","5"
"NC2","WC1","8"
"NC2","WC2","9"
"NC2","WC3","10"
"NC2","WC4","11"
"NC2","WC5","12"
"NC3","ADL","5"
"NC3","BNE","4"
"NC3","DRW","8"
"NC3","HBA","7"
"NC3","MEL","4"
"NC3","NC1","4"
"NC3","NC2","5"
"NC3","NC3","6"
"NC3","NC4","7"
"NC3","NC5","8"
"NC3","NC6","9"
"NC3","NT1","9"
"NC3","NT2","10"
"NC3","PER","8"
"NC3","QC1","5"
"NC3","QC2","6"
"NC3","QC3","6"
"NC3","QC4","7"
"NC3","QC5","8"
"NC3","QC6","9"
"NC3","SC1","6"
"NC3","SC2","7"
"NC3","SC3","8"
"NC3","SC4","9"
"NC3","SC5","10"
"NC3","SYD","3"
"NC3","TC1","8"
"NC3","VC1","4"
"NC3","VC2","5"
"NC3","VC3","6"
"NC3","WC1","0"
"NC3","WC2","10"
"NC3","WC3","11"
"NC3","WC4","12"
"NC3","WC5","13"
"NC4","ADL","6"
"NC4","BNE","5"
"NC4","DRW","9"
"NC4","HBA","8"
"NC4","MEL","5"
"NC4","NC1","5"
"NC4","NC2","6"
"NC4","NC3","7"
"NC4","NC4","8"
"NC4","NC5","9"
"NC4","NC6","10"
"NC4","NT1","10"
"NC4","NT2","11"
"NC4","PER","9"
"NC4","QC1","6"
"NC4","QC2","7"
"NC4","QC3","8"
"NC4","QC4","9"
"NC4","QC5","10"
"NC4","QC6","11"
"NC4","SC1","7"
"NC4","SC2","8"
"NC4","SC3","9"
"NC4","SC4","10"
"NC4","SC5","11"
"NC4","SYD","4"
"NC4","TC1","9"
"NC4","VC1","5"
"NC4","VC2","6"
"NC4","VC3","7"
"NC4","WC1","10"
"NC4","WC2","11"
"NC4","WC3","12"
"NC4","WC4","13"
"NC4","WC5","14"
"NC5","ADL","7"
"NC5","BNE","6"
"NC5","DRW","10"
"NC5","HBA","9"
"NC5","MEL","6"
"NC5","NC1","6"
"NC5","NC2","7"
"NC5","NC3","8"
"NC5","NC4","9"
"NC5","NC5","10"
"NC5","NC6","11"
"NC5","NT1","11"
"NC5","NT2","12"
"NC5","PER","10"
"NC5","QC1","7"
"NC5","QC2","8"
"NC5","QC3","9"
"NC5","QC4","10"
"NC5","QC5","11"
"NC5","QC6","12"
"NC5","SC1","8"
"NC5","SC2","9"
"NC5","SC3","10"
"NC5","SC4","11"
"NC5","SC5","12"
"NC5","SYD","5"
"NC5","TC1","10"
"NC5","VC1","6"
"NC5","VC2","7"
"NC5","VC3","8"
"NC5","WC1","11"
"NC5","WC2","12"
"NC5","WC3","13"
"NC5","WC4","14"
"NC5","WC5","15"
"NC6","ADL","8"
"NC6","BNE","7"
"NC6","DRW","11"
"NC6","HBA","10"
"NC6","MEL","7"
"NC6","NC1","7"
"NC6","NC2","8"
"NC6","NC3","9"
"NC6","NC4","10"
"NC6","NC5","11"
"NC6","NC6","12"
"NC6","NT1","12"
"NC6","NT2","13"
"NC6","PER","11"
"NC6","QC1","8"
"NC6","QC2","9"
"NC6","QC3","10"
"NC6","QC4","11"
"NC6","QC5","12"
"NC6","QC6","13"
"NC6","SC1","9"
"NC6","SC2","10"
"NC6","SC3","11"
"NC6","SC4","12"
"NC6","SC5","13"
"NC6","SYD","6"
"NC6","TC1","11"
"NC6","VC1","7"
"NC6","VC2","8"
"NC6","VC3","9"
"NC6","WC1","12"
"NC6","WC2","13"
"NC6","WC3","14"
"NC6","WC4","15"
"NC6","WC5","16"
"NT1","ADL","4"
"NT1","BNE","7"
"NT1","DRW","1"
"NT1","HBA","8"
"NT1","MEL","5"
"NT1","NC1","7"
"NT1","NC2","8"
"NT1","NC3","9"
"NT1","NC4","10"
"NT1","NC5","11"
"NT1","NC6","12"
"NT1","NT1","1"
"NT1","NT2","2"
"NT1","PER","9"
"NT1","QC1","8"
"NT1","QC2","9"
"NT1","QC3","10"
"NT1","QC4","11"
"NT1","QC5","12"
"NT1","QC6","13"
"NT1","SC1","5"
"NT1","SC2","6"
"NT1","SC3","7"
"NT1","SC4","8"
"NT1","SC5","9"
"NT1","SYD","6"
"NT1","TC1","9"
"NT1","VC1","6"
"NT1","VC2","7"
"NT1","VC3","8"
"NT1","WC1","10"
"NT1","WC2","11"
"NT1","WC3","12"
"NT1","WC4","13"
"NT1","WC5","14"
"NT2","ADL","5"
"NT2","BNE","8"
"NT2","DRW","2"
"NT2","HBA","9"
"NT2","MEL","6"
"NT2","NC1","8"
"NT2","NC2","9"
"NT2","NC3","10"
"NT2","NC4","11"
"NT2","NC5","12"
"NT2","NC6","13"
"NT2","NT1","3"
"NT2","NT2","4"
"NT2","PER","10"
"NT2","QC1","9"
"NT2","QC2","10"
"NT2","QC3","11"
"NT2","QC4","12"
"NT2","QC5","13"
"NT2","QC6","14"
"NT2","SC1","6"
"NT2","SC2","7"
"NT2","SC3","8"
"NT2","SC4","9"
"NT2","SC5","10"
"NT2","SYD","7"
"NT2","TC1","10"
"NT2","VC1","7"
"NT2","VC2","8"
"NT2","VC3","9"
"NT2","WC1","11"
"NT2","WC2","12"
"NT2","WC3","13"
"NT2","WC4","14"
"NT2","WC5","15"
"PER","ADL","5"
"PER","BNE","6"
"PER","DRW","8"
"PER","HBA","8"
"PER","MEL","5"
"PER","NC1","6"
"PER","NC2","7"
"PER","NC3","8"
"PER","NC4","9"
"PER","NC5","10"
"PER","NC6","11"
"PER","NT1","9"
"PER","NT2","10"
"PER","PER","1"
"PER","QC1","7"
"PER","QC2","8"
"PER","QC3","9"
"PER","QC4","10"
"PER","QC5","11"
"PER","QC6","12"
"PER","SC1","6"
"PER","SC2","7"
"PER","SC3","8"
"PER","SC4","9"
"PER","SC5","10"
"PER","SYD","5"
"PER","TC1","9"
"PER","VC1","6"
"PER","VC2","7"
"PER","VC3","8"
"PER","WC1","1"
"PER","WC2","2"
"PER","WC3","3"
"PER","WC4","4"
"PER","WC5","5"
"QC1","ADL","4"
"QC1","BNE","1"
"QC1","DRW","7"
"QC1","HBA","7"
"QC1","MEL","3"
"QC1","NC1","3"
"QC1","NC2","4"
"QC1","NC3","5"
"QC1","NC4","6"
"QC1","NC5","7"
"QC1","NC6","8"
"QC1","NT1","8"
"QC1","NT2","9"
"QC1","PER","7"
"QC1","QC1","1"
"QC1","QC2","2"
"QC1","QC3","3"
"QC1","QC4","4"
"QC1","QC5","5"
"QC1","QC6","6"
"QC1","SC1","5"
"QC1","SC2","6"
"QC1","SC3","7"
"QC1","SC4","8"
"QC1","SC5","9"
"QC1","SYD","2"
"QC1","TC1","8"
"QC1","VC1","4"
"QC1","VC2","5"
"QC1","VC3","6"
"QC1","WC1","8"
"QC1","WC2","9"
"QC1","WC3","10"
"QC1","WC4","11"
"QC1","WC5","12"
"QC2","ADL","5"
"QC2","BNE","2"
"QC2","DRW","8"
"QC2","HBA","8"
"QC2","MEL","4"
"QC2","NC1","4"
"QC2","NC2","5"
"QC2","NC3","6"
"QC2","NC4","7"
"QC2","NC5","8"
"QC2","NC6","9"
"QC2","NT1","9"
"QC2","NT2","10"
"QC2","PER","8"
"QC2","QC1","3"
"QC2","QC2","4"
"QC2","QC3","5"
"QC2","QC4","6"
"QC2","QC5","7"
"QC2","QC6","8"
"QC2","SC1","6"
"QC2","SC2","7"
"QC2","SC3","8"
"QC2","SC4","9"
"QC2","SC5","10"
"QC2","SYD","3"
"QC2","TC1","9"
"QC2","VC1","5"
"QC2","VC2","6"
"QC2","VC3","7"
"QC2","WC1","9"
"QC2","WC2","10"
"QC2","WC3","11"
"QC2","WC4","12"
"QC2","WC5","13"
"QC3","ADL","6"
"QC3","BNE","3"
"QC3","DRW","9"
"QC3","HBA","9"
"QC3","MEL","5"
"QC3","NC1","5"
"QC3","NC2","6"
"QC3","NC3","7"
"QC3","NC4","8"
"QC3","NC5","9"
"QC3","NC6","10"
"QC3","NT1","10"
"QC3","NT2","11"
"QC3","PER","9"
"QC3","QC1","4"
"QC3","QC2","5"
"QC3","QC3","6"
"QC3","QC4","7"
"QC3","QC5","8"
"QC3","QC6","9"
"QC3","SC1","7"
"QC3","SC2","8"
"QC3","SC3","9"
"QC3","SC4","10"
"QC3","SC5","11"
"QC3","SYD","4"
"QC3","TC1","10"
"QC3","VC1","6"
"QC3","VC2","7"
"QC3","VC3","8"
"QC3","WC1","10"
"QC3","WC2","11"
"QC3","WC3","12"
"QC3","WC4","13"
"QC3","WC5","14"
"QC4","ADL","7"
"QC4","BNE","4"
"QC4","DRW","10"
"QC4","HBA","10"
"QC4","MEL","6"
"QC4","NC1","6"
"QC4","NC2","7"
"QC4","NC3","8"
"QC4","NC4","9"
"QC4","NC5","10"
"QC4","NC6","11"
"QC4","NT1","11"
"QC4","NT2","12"
"QC4","PER","10"
"QC4","QC1","5"
"QC4","QC2","6"
"QC4","QC3","7"
"QC4","QC4","8"
"QC4","QC5","9"
"QC4","QC6","10"
"QC4","SC1","8"
"QC4","SC2","9"
"QC4","SC3","10"
"QC4","SC4","11"
"QC4","SC5","12"
"QC4","SYD","5"
"QC4","TC1","11"
"QC4","VC1","7"
"QC4","VC2","8"
"QC4","VC3","9"
"QC4","WC1","11"
"QC4","WC2","12"
"QC4","WC3","13"
"QC4","WC4","14"
"QC4","WC5","15"
"QC5","ADL","8"
"QC5","BNE","5"
"QC5","DRW","11"
"QC5","HBA","11"
"QC5","MEL","7"
"QC5","NC1","7"
"QC5","NC2","8"
"QC5","NC3","9"
"QC5","NC4","10"
"QC5","NC5","11"
"QC5","NC6","12"
"QC5","NT1","12"
"QC5","NT2","13"
"QC5","PER","11"
"QC5","QC1","6"
"QC5","QC2","7"
"QC5","QC3","8"
"QC5","QC4","9"
"QC5","QC5","10"
"QC5","QC6","11"
"QC5","SC1","9"
"QC5","SC2","10"
"QC5","SC3","11"
"QC5","SC4","12"
"QC5","SC5","13"
"QC5","SYD","6"
"QC5","TC1","12"
"QC5","VC1","8"
"QC5","VC2","9"
"QC5","VC3","10"
"QC5","WC1","12"
"QC5","WC2","13"
"QC5","WC3","14"
"QC5","WC4","15"
"QC5","WC5","16"
"QC6","ADL","9"
"QC6","BNE","6"
"QC6","DRW","12"
"QC6","HBA","12"
"QC6","MEL","8"
"QC6","NC1","8"
"QC6","NC2","9"
"QC6","NC3","10"
"QC6","NC4","11"
"QC6","NC5","12"
"QC6","NC6","13"
"QC6","NT1","13"
"QC6","NT2","14"
"QC6","PER","12"
"QC6","QC1","7"
"QC6","QC2","8"
"QC6","QC3","9"
"QC6","QC4","10"
"QC6","QC5","11"
"QC6","QC6","12"
"QC6","SC1","10"
"QC6","SC2","11"
"QC6","SC3","12"
"QC6","SC4","13"
"QC6","SC5","14"
"QC6","SYD","7"
"QC6","TC1","13"
"QC6","VC1","9"
"QC6","VC2","10"
"QC6","VC3","11"
"QC6","WC1","13"
"QC6","WC2","10"
"QC6","WC3","10"
"QC6","WC4","11"
"QC6","WC5","11"
"SC1","ADL","1"
"SC1","BNE","4"
"SC1","DRW","4"
"SC1","HBA","5"
"SC1","MEL","2"
"SC1","NC1","4"
"SC1","NC2","5"
"SC1","NC3","6"
"SC1","NC4","7"
"SC1","NC5","8"
"SC1","NC6","9"
"SC1","NT1","5"
"SC1","NT2","6"
"SC1","PER","6"
"SC1","QC1","5"
"SC1","QC2","6"
"SC1","QC3","7"
"SC1","QC4","8"
"SC1","QC5","9"
"SC1","QC6","10"
"SC1","SC1","1"
"SC1","SC2","2"
"SC1","SC3","3"
"SC1","SC4","4"
"SC1","SC5","5"
"SC1","SYD","3"
"SC1","TC1","6"
"SC1","VC1","3"
"SC1","VC2","4"
"SC1","VC3","5"
"SC1","WC1","7"
"SC1","WC2","8"
"SC1","WC3","9"
"SC1","WC4","10"
"SC1","WC5","11"
"SC2","ADL","2"
"SC2","BNE","5"
"SC2","DRW","5"
"SC2","HBA","6"
"SC2","MEL","3"
"SC2","NC1","5"
"SC2","NC2","6"
"SC2","NC3","7"
"SC2","NC4","8"
"SC2","NC5","9"
"SC2","NC6","10"
"SC2","NT1","6"
"SC2","NT2","7"
"SC2","PER","7"
"SC2","QC1","6"
"SC2","QC2","7"
"SC2","QC3","8"
"SC2","QC4","9"
"SC2","QC5","10"
"SC2","QC6","11"
"SC2","SC1","3"
"SC2","SC2","4"
"SC2","SC3","5"
"SC2","SC4","6"
"SC2","SC5","7"
"SC2","SYD","4"
"SC2","TC1","7"
"SC2","VC1","4"
"SC2","VC2","5"
"SC2","VC3","6"
"SC2","WC1","8"
"SC2","WC2","9"
"SC2","WC3","10"
"SC2","WC4","11"
"SC2","WC5","12"
"SC3","ADL","3"
"SC3","BNE","6"
"SC3","DRW","6"
"SC3","HBA","7"
"SC3","MEL","4"
"SC3","NC1","6"
"SC3","NC2","7"
"SC3","NC3","8"
"SC3","NC4","9"
"SC3","NC5","10"
"SC3","NC6","11"
"SC3","NT1","7"
"SC3","NT2","8"
"SC3","PER","8"
"SC3","QC1","7"
"SC3","QC2","8"
"SC3","QC3","9"
"SC3","QC4","10"
"SC3","QC5","11"
"SC3","QC6","12"
"SC3","SC1","4"
"SC3","SC2","5"
"SC3","SC3","6"
"SC3","SC4","7"
"SC3","SC5","8"
"SC3","SYD","5"
"SC3","TC1","8"
"SC3","VC1","5"
"SC3","VC2","6"
"SC3","VC3","7"
"SC3","WC1","9"
"SC3","WC2","10"
"SC3","WC3","11"
"SC3","WC4","12"
"SC3","WC5","13"
"SC4","ADL","4"
"SC4","BNE","7"
"SC4","DRW","7"
"SC4","HBA","8"
"SC4","MEL","5"
"SC4","NC1","7"
"SC4","NC2","8"
"SC4","NC3","9"
"SC4","NC4","10"
"SC4","NC5","11"
"SC4","NC6","12"
"SC4","NT1","8"
"SC4","NT2","9"
"SC4","PER","9"
"SC4","QC1","8"
"SC4","QC2","9"
"SC4","QC3","10"
"SC4","QC4","11"
"SC4","QC5","12"
"SC4","QC6","13"
"SC4","SC1","5"
"SC4","SC2","6"
"SC4","SC3","7"
"SC4","SC4","8"
"SC4","SC5","9"
"SC4","SYD","6"
"SC4","TC1","9"
"SC4","VC1","6"
"SC4","VC2","7"
"SC4","VC3","8"
"SC4","WC1","10"
"SC4","WC2","11"
"SC4","WC3","12"
"SC4","WC4","13"
"SC4","WC5","14"
"SC5","ADL","5"
"SC5","BNE","8"
"SC5","DRW","8"
"SC5","HBA","9"
"SC5","MEL","6"
"SC5","NC1","4"
"SC5","NC2","5"
"SC5","NC3","5"
"SC5","NC4","6"
"SC5","NC5","6"
"SC5","NC6","6"
"SC5","NT1","9"
"SC5","NT2","10"
"SC5","PER","10"
"SC5","QC1","9"
"SC5","QC2","10"
"SC5","QC3","11"
"SC5","QC4","12"
"SC5","QC5","13"
"SC5","QC6","14"
"SC5","SC1","6"
"SC5","SC2","7"
"SC5","SC3","8"
"SC5","SC4","9"
"SC5","SC5","10"
"SC5","SYD","7"
"SC5","TC1","10"
"SC5","VC1","7"
"SC5","VC2","8"
"SC5","VC3","9"
"SC5","WC1","11"
"SC5","WC2","12"
"SC5","WC3","13"
"SC5","WC4","14"
"SC5","WC5","15"
"SYD","ADL","2"
"SYD","BNE","1"
"SYD","DRW","5"
"SYD","HBA","4"
"SYD","MEL","1"
"SYD","NC1","1"
"SYD","NC2","2"
"SYD","NC3","3"
"SYD","NC4","4"
"SYD","NC5","5"
"SYD","NC6","6"
"SYD","NT1","6"
"SYD","NT2","7"
"SYD","PER","5"
"SYD","QC1","2"
"SYD","QC2","3"
"SYD","QC3","4"
"SYD","QC4","5"
"SYD","QC5","6"
"SYD","QC6","6"
"SYD","SC1","3"
"SYD","SC2","4"
"SYD","SC3","5"
"SYD","SC4","6"
"SYD","SC5","7"
"SYD","SYD","1"
"SYD","TC1","5"
"SYD","VC1","2"
"SYD","VC2","3"
"SYD","VC3","4"
"SYD","WC1","6"
"SYD","WC2","7"
"SYD","WC3","8"
"SYD","WC4","9"
"SYD","WC5","10"
"TC1","ADL","5"
"TC1","BNE","7"
"TC1","DRW","8"
"TC1","HBA","2"
"TC1","MEL","8"
"TC1","NC1","6"
"TC1","NC2","7"
"TC1","NC3","8"
"TC1","NC4","9"
"TC1","NC5","10"
"TC1","NC6","11"
"TC1","NT1","9"
"TC1","NT2","10"
"TC1","PER","9"
"TC1","QC1","8"
"TC1","QC2","9"
"TC1","QC3","10"
"TC1","QC4","11"
"TC1","QC5","12"
"TC1","QC6","13"
"TC1","SC1","6"
"TC1","SC2","7"
"TC1","SC3","8"
"TC1","SC4","9"
"TC1","SC5","10"
"TC1","SYD","5"
"TC1","TC1","1"
"TC1","VC1","9"
"TC1","VC2","10"
"TC1","VC3","11"
"TC1","WC1","10"
"TC1","WC2","11"
"TC1","WC3","12"
"TC1","WC4","13"
"TC1","WC5","14"
"VC1","ADL","2"
"VC1","BNE","3"
"VC1","DRW","5"
"VC1","HBA","4"
"VC1","MEL","1"
"VC1","NC1","3"
"VC1","NC2","4"
"VC1","NC3","5"
"VC1","NC4","6"
"VC1","NC5","7"
"VC1","NC6","8"
"VC1","NT1","6"
"VC1","NT2","7"
"VC1","PER","6"
"VC1","QC1","4"
"VC1","QC2","5"
"VC1","QC3","6"
"VC1","QC4","7"
"VC1","QC5","8"
"VC1","QC6","9"
"VC1","SC1","3"
"VC1","SC2","4"
"VC1","SC3","5"
"VC1","SC4","6"
"VC1","SC5","7"
"VC1","SYD","2"
"VC1","TC1","5"
"VC1","VC1","1"
"VC1","VC2","2"
"VC1","VC3","3"
"VC1","WC1","7"
"VC1","WC2","8"
"VC1","WC3","9"
"VC1","WC4","10"
"VC1","WC5","11"
"VC2","ADL","3"
"VC2","BNE","4"
"VC2","DRW","6"
"VC2","HBA","5"
"VC2","MEL","2"
"VC2","NC1","4"
"VC2","NC2","5"
"VC2","NC3","6"
"VC2","NC4","7"
"VC2","NC5","8"
"VC2","NC6","9"
"VC2","NT1","7"
"VC2","NT2","8"
"VC2","PER","7"
"VC2","QC1","5"
"VC2","QC2","6"
"VC2","QC3","7"
"VC2","QC4","8"
"VC2","QC5","9"
"VC2","QC6","10"
"VC2","SC1","4"
"VC2","SC2","5"
"VC2","SC3","6"
"VC2","SC4","7"
"VC2","SC5","8"
"VC2","SYD","3"
"VC2","TC1","6"
"VC2","VC1","3"
"VC2","VC2","4"
"VC2","VC3","5"
"VC2","WC1","8"
"VC2","WC2","9"
"VC2","WC3","10"
"VC2","WC4","11"
"VC2","WC5","12"
"VC3","ADL","4"
"VC3","BNE","5"
"VC3","DRW","7"
"VC3","HBA","6"
"VC3","MEL","3"
"VC3","NC1","5"
"VC3","NC2","6"
"VC3","NC3","7"
"VC3","NC4","8"
"VC3","NC5","9"
"VC3","NC6","10"
"VC3","NT1","8"
"VC3","NT2","9"
"VC3","PER","8"
"VC3","QC1","6"
"VC3","QC2","7"
"VC3","QC3","8"
"VC3","QC4","9"
"VC3","QC5","10"
"VC3","QC6","11"
"VC3","SC1","5"
"VC3","SC2","6"
"VC3","SC3","7"
"VC3","SC4","8"
"VC3","SC5","9"
"VC3","SYD","4"
"VC3","TC1","7"
"VC3","VC1","4"
"VC3","VC2","5"
"VC3","VC3","6"
"VC3","WC1","9"
"VC3","WC2","10"
"VC3","WC3","11"
"VC3","WC4","12"
"VC3","WC5","13"
"WC1","ADL","6"
"WC1","BNE","7"
"WC1","DRW","9"
"WC1","HBA","9"
"WC1","MEL","6"
"WC1","NC1","7"
"WC1","NC2","8"
"WC1","NC3","9"
"WC1","NC4","10"
"WC1","NC5","11"
"WC1","NC6","12"
"WC1","NT1","10"
"WC1","NT2","11"
"WC1","PER","1"
"WC1","QC1","8"
"WC1","QC2","9"
"WC1","QC3","10"
"WC1","QC4","11"
"WC1","QC5","12"
"WC1","QC6","13"
"WC1","SC1","7"
"WC1","SC2","8"
"WC1","SC3","9"
"WC1","SC4","10"
"WC1","SC5","11"
"WC1","SYD","6"
"WC1","TC1","10"
"WC1","VC1","7"
"WC1","VC2","8"
"WC1","VC3","9"
"WC1","WC1","1"
"WC1","WC2","2"
"WC1","WC3","3"
"WC1","WC4","4"
"WC1","WC5","5"
"WC2","ADL","7"
"WC2","BNE","8"
"WC2","DRW","10"
"WC2","HBA","10"
"WC2","MEL","7"
"WC2","NC1","8"
"WC2","NC2","9"
"WC2","NC3","10"
"WC2","NC4","11"
"WC2","NC5","12"
"WC2","NC6","13"
"WC2","NT1","11"
"WC2","NT2","12"
"WC2","PER","2"
"WC2","QC1","9"
"WC2","QC2","10"
"WC2","QC3","11"
"WC2","QC4","12"
"WC2","QC5","13"
"WC2","QC6","14"
"WC2","SC1","8"
"WC2","SC2","9"
"WC2","SC3","10"
"WC2","SC4","11"
"WC2","SC5","12"
"WC2","SYD","7"
"WC2","TC1","11"
"WC2","VC1","8"
"WC2","VC2","9"
"WC2","VC3","10"
"WC2","WC1","3"
"WC2","WC2","4"
"WC2","WC3","5"
"WC2","WC4","6"
"WC2","WC5","7"
"WC3","ADL","8"
"WC3","BNE","9"
"WC3","DRW","11"
"WC3","HBA","11"
"WC3","MEL","8"
"WC3","NC1","9"
"WC3","NC2","10"
"WC3","NC3","11"
"WC3","NC4","12"
"WC3","NC5","13"
"WC3","NC6","14"
"WC3","NT1","12"
"WC3","NT2","13"
"WC3","PER","3"
"WC3","QC1","10"
"WC3","QC2","11"
"WC3","QC3","12"
"WC3","QC4","13"
