zone_from,zone_to,travel_time
"WC4","PER","4"
"WC4","QC1","11"
"WC4","QC2","12"
"WC4","QC3","13"
"WC4","QC4","14"
"WC4","QC5","15"
"WC4","QC6","16"
"WC4","SC1","10"
"WC4","SC2","11"
"WC4","SC3","12"
"WC4","SC4","13"
"WC4","SC5","14"
"WC4","SYD","9"
"WC4","TC1","13"
"WC4","VC1","10"
"WC4","VC2","11"
"WC4","VC3","12"
"WC4","WC1","5"
"WC4","WC2","6"
"WC4","WC3","7"
"WC4","WC4","8"
"WC4","WC5","9"
"WC5","ADL","10"
"WC5","BNE","11"
"WC5","DRW","13"
"WC5","HBA","13"
"WC5","MEL","10"
"WC5","NC1","11"
"WC5","NC2","12"
"WC5","NC3","13"
"WC5","NC4","14"
"WC5","NC5","15"
"WC5","NC6","16"
"WC5","NT1","14"
"WC5","NT2","15"
"WC5","PER","5"
"WC5","QC1","12"
"WC5","QC2","13"
"WC5","QC3","14"
"WC5","QC4","15"
"WC5","QC5","16"
"WC5","QC6","17"
"WC5","SC1","11"
"WC5","SC2","12"
"WC5","SC3","13"
"WC5","SC4","14"
"WC5","SC5","15"
"WC5","SYD","10"
"WC5","TC1","14"
"WC5","VC1","11"
"WC5","VC2","12"
"WC5","VC3","13"
"WC5","WC1","6"
"WC5","WC2","7"
"WC5","WC3","8"
"WC5","WC4","9"
"WC5","WC5","10"
